File generated on // Fichier créé sur ,23/09/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pollutant // Polluant, PM10 // PM10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units // Unités,µg/m3 // µg/m3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data is hour ending local standard time // Données en heure normale locale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note // Note,Zeros are valid. -999 denotes no data available. // Zéros sont valides .-999 Données non disponibles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pollutant // Polluant,NAPS ID // Identifiant SNPA,City // Ville,P/T // P/T,Latitude // Latitude,Longitude // Longitude,Date // Date,H01 // H01,H02 // H02,H03 // H03,H04 // H04,H05 // H05,H06 // H06,H07 // H07,H08 // H08,H09 // H09,H10 // H10,H11 // H11,H12 // H12,H13 // H13,H14 // H14,H15 // H15,H16 // H16,H17 // H17,H18 // H18,H19 // H19,H20 // H20,H21 // H21,H22 // H22,H23 // H23,H24 // H24
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160212,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160213,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160214,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160215,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160216,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160217,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3,7,7,6,8,8,8,7,8
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160218,7,6,8,7,8,7,6,8,8,8,9,10,8,10,11,15,17,15,14,10,11,11,16,17
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160219,14,15,14,13,13,15,15,15,18,22,22,17,11,12,15,16,13,12,12,14,12,10,9,7
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160220,7,7,4,5,4,5,5,6,7,7,6,5,7,6,6,6,6,8,10,11,7,11,8,8
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160221,8,7,8,8,8,9,12,16,16,29,52,50,28,26,22,19,26,34,36,49,36,33,24,17
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160222,14,7,6,4,4,5,6,6,7,9,10,12,13,12,9,8,8,9,11,12,12,11,13,15
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160223,17,12,11,10,10,11,6,9,9,8,8,7,6,6,9,9,9,10,10,11,10,9,9,8
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160224,8,7,5,5,5,6,9,10,11,15,11,20,26,27,26,22,20,16,13,14,14,14,12,8
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160225,5,6,6,7,5,4,5,5,9,13,23,60,36,32,17,20,21,25,22,22,15,13,9,8
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160226,6,7,6,6,7,6,7,7,8,16,16,29,32,22,16,15,13,9,8,7,6,6,6,6
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160227,6,7,7,6,6,7,9,5,3,5,7,7,12,12,12,10,9,11,14,15,8,6,5,5
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160228,4,4,5,6,5,5,5,5,4,6,5,6,4,4,5,6,9,11,8,8,6,8,9,8
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160229,8,9,9,8,7,7,7,8,10,8,7,8,7,5,8,9,7,9,11,10,10,11,10,10
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160301,10,11,11,8,8,11,15,16,17,20,18,22,9,11,14,18,19,20,24,28,24,26,26,29
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160302,26,24,20,21,17,14,16,24,31,26,35,36,34,23,22,19,16,22,24,31,18,25,42,36
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160303,39,35,12,11,10,19,70,111,111,80,75,77,71,77,67,50,60,74,77,78,73,90,95,72
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160304,56,45,35,25,15,9,13,14,18,16,13,13,11,10,11,8,9,9,11,11,8,13,13,11
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160305,10,9,10,6,8,8,5,7,7,6,5,4,5,5,8,6,3,5,8,6,4,5,4,4
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160306,4,5,4,4,4,4,4,4,6,8,8,11,12,12,12,13,12,12,13,11,8,8,5,5
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160307,5,6,5,6,6,7,7,8,10,10,11,11,12,14,-999,16,17,13,14,12,8,9,9,9
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160308,10,9,10,12,12,9,9,8,10,8,8,5,4,5,6,7,9,6,7,9,8,9,9,9
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160309,17,6,5,4,7,5,11,15,15,27,21,29,35,55,51,33,35,22,17,20,15,11,11,9
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160310,9,8,8,8,8,7,9,9,11,12,13,13,22,17,15,12,12,9,8,9,6,8,9,6
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160311,7,6,6,5,5,5,7,8,11,10,14,19,28,30,32,27,31,25,23,20,18,15,12,10
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160312,10,10,8,7,8,9,8,12,14,16,20,24,38,45,39,41,31,31,22,29,38,45,51,33
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160313,22,26,24,17,14,14,13,11,13,13,12,10,10,6,5,7,6,6,6,5,2,3,6,6
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160314,4,2,4,6,7,5,8,14,11,13,11,56,61,60,68,75,87,70,44,22,40,25,19,14
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160315,14,19,15,9,14,15,11,11,9,9,8,6,3,4,6,12,13,13,13,19,18,18,11,8
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160316,8,7,6,23,12,7,12,21,15,12,14,18,32,39,44,19,8,5,3,3,3,4,4,3
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160317,4,4,4,4,5,5,6,6,7,6,6,6,6,5,5,6,7,6,7,10,5,5,6,8
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160318,9,6,6,5,6,10,15,19,28,32,30,20,19,24,30,23,37,33,37,26,31,41,44,49
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160319,61,77,65,44,29,16,21,19,20,40,39,31,34,27,33,23,28,25,34,27,19,23,20,13
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160320,9,9,8,6,7,7,10,10,9,11,21,29,27,26,22,26,73,55,41,39,57,37,57,15
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160321,14,12,14,9,12,42,80,78,94,92,78,83,75,54,60,134,81,42,39,28,38,22,25,17
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160322,15,17,10,26,17,31,68,100,88,52,47,66,61,73,79,79,57,57,34,28,30,35,24,16
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160323,12,8,12,10,10,32,69,79,58,48,53,59,45,44,49,55,60,65,46,69,100,70,46,32
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160324,28,20,19,25,28,43,50,57,56,53,57,71,65,57,56,81,69,69,41,35,21,10,2,5
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160325,4,5,6,6,7,9,7,8,9,9,7,9,8,8,8,10,10,11,13,16,17,18,21,19
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160326,13,12,19,14,13,17,35,38,57,53,34,30,27,30,29,34,29,25,30,25,25,29,25,25
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160327,22,19,15,10,9,11,12,11,23,28,34,34,52,23,18,19,18,19,24,27,22,18,14,7
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160328,6,6,8,9,8,8,10,17,8,17,33,24,23,26,34,31,30,33,28,38,49,52,32,38
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160329,54,34,26,13,21,49,76,117,151,116,45,36,30,36,35,50,58,38,42,41,31,38,28,24
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160330,20,9,6,6,7,8,17,22,34,31,31,27,27,30,25,36,44,37,39,39,60,43,54,27
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160331,12,11,9,8,9,30,48,42,33,32,48,48,41,31,59,63,137,53,31,17,44,53,38,40
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160401,27,10,8,9,10,18,35,32,24,27,33,36,31,26,21,30,31,29,9,8,7,6,5,5
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160402,7,2,4,5,6,6,6,7,5,4,5,3,5,7,9,10,6,11,7,5,6,6,7,7
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160403,11,8,7,7,9,9,13,16,16,15,14,14,13,15,14,15,13,14,10,14,13,13,12,7
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160404,8,10,8,11,9,18,31,30,42,30,19,21,28,27,26,26,27,16,21,32,29,36,37,31
